"site_id","entity_id","year_BP","mineralogy","d18O_measurement","d13C_measurement","d18O_dweq","d13C_dweq","TEMP","PREC","ISOT","ITIF","EVAP"
"139","294","455.44","calcite","-8.923","-3.594","-11.3602195272309","-3.594","10.8550909953273","378.557453023991","-6.99675102021695","-8.29749825387239","377.582499587383"
"139","294","457.72","calcite","-8.894","-3.41","-11.1140730934505","-3.41","11.9098834365257","403.418769475716","-6.98484817313159","-7.76884636956212","438.836545646865"
"139","294","460","calcite","-8.901","-3.506","-11.1117883705134","-3.506","11.9564065749626","485.296325436996","-6.85738313010843","-7.13497468555821","422.632104386724"
"139","294","462.28","calcite","-8.942","-3.465","-11.2735854006696","-3.465","11.3722264909103","264.089259222543","-7.72264237990353","-8.01486357248458","294.785687411549"
"139","294","464.56","calcite","-8.94","-3.355","-11.5258915869434","-3.355","10.136977554965","645.771655645901","-7.44836481677348","-8.58032050502022","547.108787524528"
"139","294","466.84","calcite","-8.882","-3.578","-11.0728340281042","-3.578","12.0512848718187","350.935138467629","-6.19627543759954","-7.37886980831767","290.445924508102"
"139","294","469.12","calcite","-8.949","-3.211","-11.3186549660616","-3.211","11.1877242760524","477.498226753472","-7.39853196005775","-8.68544780987454","471.847864687453"
"139","294","471.4","calcite","-8.812","-3.41","-11.1243053903683","-3.41","11.4466759233311","884.635784300923","-7.15205512925909","-7.27774359968805","627.273762079435"
"139","294","473.68","calcite","-8.837","-3.218","-11.2477115558293","-3.218","10.9710344239021","570.343028983415","-7.13150572184479","-8.26314804089351","452.739985798172"
"139","294","475.96","calcite","-8.837","-3.372","-11.376551973928","-3.372","10.3457879053624","456.649575835104","-8.35921370212319","-9.5045865307841","409.124611496328"
"139","294","478.24","calcite","-8.759","-3.315","-11.1081913358495","-3.315","11.2588042317368","304.609758834108","-7.30644263049654","-8.55304765484586","334.376289512135"
"139","294","480.52","calcite","-8.838","-3.511","-11.2741212469099","-3.511","10.8476563771175","613.293730489371","-7.96559001902622","-9.13679584734382","512.278829601294"
"139","294","482.8","calcite","-8.735","-3.036","-11.2307995102145","-3.036","10.5425108207403","420.706673359923","-8.03072050759188","-8.97468894880874","426.675608253855"
"139","294","485.08","calcite","-8.858","-3.207","-11.2351640652776","-3.207","11.1374507145589","449.776430288317","-6.67821808576428","-7.80130750871936","390.319518634406"
"139","294","487.36","calcite","-8.717","-3.017","-11.2438216465226","-3.017","10.3894708932725","344.975585356202","-7.10583262613694","-8.49004952634716","412.874517042264"
"139","294","491.92","calcite","-8.639","-3.379","-11.1307077670627","-3.379","10.547958312851","510.265983149533","-7.89242518929403","-8.47485556761876","431.985661104968"
